label,question,sentence
0,When did the third Digimon series begin?,"Unlike the two seasons before it and most of the seasons that followed, Digimon Tamers takes a darker and more realistic approach to its story featuring Digimon who do not reincarnate after their deaths and more complex character development in the original Japanese."
0,What famous palace is located in London?,"London contains four World Heritage Sites: the Tower of London; Kew Gardens; the site comprising the Palace of Westminster, Westminster Abbey, and St Margaret's Church; and the historic settlement of Greenwich (in which the Royal Observatory, Greenwich marks the Prime Meridian, 0° longitude, and GMT)."
0,Who starred in 'True Love'?,"The show starred Ted Danson as Dr. John Becker, a doctor who operated a small practice and was constantly annoyed by his patients, co-workers, friends, and practically everything and everybody else in his world."
0,What do most open education sources offer?,"The conventional merit-system degree is currently not as common in open education as it is in campus universities, although some open universities do already offer conventional degrees such as the Open University in the United Kingdom."
1,How is Nirvana achieved?,"In Theravada Buddhism, the ultimate goal is the attainment of the sublime state of Nirvana, achieved by practicing the Noble Eightfold Path (also known as the Middle Way), thus escaping what is seen as a cycle of suffering and rebirth."
0,What was Zhejiang formerly romanized as?,"Zhejiang is bordered by Jiangsu province and Shanghai municipality to the north, Anhui province to the northwest, Jiangxi province to the west, and Fujian province to the south; to the east is the East China Sea, beyond which lie the Ryukyu Islands of Japan."
1,What city was FIFA formed?,"FIFA, the international football body, was formed in Paris in 1904 and declared that they would adhere to Laws of the Game of the Football Association."
0,Did everyone endorse Gaddafi?,"Gaddafi remained the government's public face, with the identities of the other RCC members only being publicly revealed on 10 January 1970."
1,What conflict was supposed to have provided Iraqi forces with battle experience?,"Iraqi forces were battle-hardened after 8 years of war with Iran, and they were well equipped with late model Soviet tanks and jet fighters, but the antiaircraft weapons were crippled; in comparison, the US had no large-scale combat experience since its withdrawal from Vietnam nearly 20 years earlier, and major changes in US doctrine, equipment and technology since then had never been tested under fire."
0,Who did Yaroslav's sons marry?,"Yaroslav the Wise, whose stepmother belonged to the Macedonian dynasty, the greatest one to rule Byzantium, married the only legitimate daughter of the king who Christianized Sweden."
1,What is Seattle's average December temperature?,"Winters are cool and wet with December, the coolest month, averaging 40.6 °F (4.8 °C), with 28 annual days with lows that reach the freezing mark, and 2.0 days where the temperature stays at or below freezing all day; the temperature rarely lowers to 20 °F (−7 °C)."
0,What happened to Hornswoggle?,"Dave Finlay was often aided in his matches by a midget known mainly as Hornswoggle while in WWE, who hid under the ring and gave a shillelagh to Finlay to use on his opponent."
0,"What county is Charleston, South Carolina located in?","The city lies just south of the geographical midpoint of South Carolina's coastline and is located on Charleston Harbor, an inlet of the Atlantic Ocean formed by the confluence of the Ashley and Cooper Rivers, or, as is locally expressed, ""where the Cooper and Ashley Rivers come together to form the Atlantic Ocean."""
0,Who made Chopin's death mask?,Chopin requested that his body be opened after death (for fear of being buried alive) and his heart returned to Warsaw where it rests at the Church of the Holy Cross.
1,"What ""ices"" makes up Neptune?","Like Jupiter and Saturn, Neptune's atmosphere is composed primarily of hydrogen and helium, along with traces of hydrocarbons and possibly nitrogen, but contains a higher proportion of ""ices"" such as water, ammonia, and methane."
1,"What's the Dutch word for ""green""?","The former take an diminutive ending and thus functions as a noun, the latter remain adverbs and have always the diminutive with the -s appended, e.g. adjective: groen (""green"") → noun: groentje (""rookie""); adverb: even (""just"") → adverb: eventjes (""just a minute"")."
0,What credit did Dowding receive?,"However, Dowding had spent so much effort preparing day fighter defences, there was little to prevent the Germans carrying out an alternative strategy by bombing at night."
1,Who succeeded Newt Gingrich as Speaker?,"In 1998, with Speaker Newt Gingrich announcing his resignation, both Majority Leader Dick Armey and Majority Whip Tom DeLay did not contest the Speakership which eventually went to Chief Deputy Whip Dennis Hastert."
1,What years were the miners strike?,"The miners strike of 1984–85 over coal mine closures, for which miners' leader Arthur Scargill was blamed, and the Wapping dispute led to clashes with the left of the party, and negative coverage in most of the press."
1,Who wrote the Decretum?,"Canon law was also studied, and around 1140 a monk named Gratian (fl. 12th century), a teacher at Bologna, wrote what became the standard text of canon law—the Decretum."
0,What did Prince Gong sign?,"Once in Beijing, the Anglo-French forces looted the Old Summer Palace, and in an act of revenge for the arrest of several Englishmen, burnt it to the ground."
0,Where was the Six Nations Reserve located?,"At the homestead, Bell set up his own workshop in the converted carriage house near to what he called his ""dreaming place"", a large hollow nestled in trees at the back of the property above the river."
0,What was the final build Microsoft decided to manufacture?,"However, only a day after its release to manufacturing, a copy of the final version of Windows 8 Enterprise N (a version for European markets lacking bundled media players to comply with a court ruling) leaked online, followed by leaks of the final versions of Windows 8 Pro and Enterprise a few days later."
0,What stele is at Boni's tomb?,"It was home of the admiral Zheng He, who went to sail the Pacific and Indian Oceans, and it was visited by foreign dignitaries, such as a king from Borneo (Boni 渤泥), who died during his visit to China in 1408."
1,WHat is Kabbalah?,"Kabbalah, Jewish mysticism, paints a pantheistic/panentheistic view of God—which has wide acceptance in Hasidic Judaism, particularly from their founder The Baal Shem Tov"
1,What was changed so she could still qualify?,"The schedule was rearranged so the boys performed first and she could perform the following night instead; she later revealed that Ken Warwick, the show producer, wanted to disqualify her but she begged to be allowed to stay on the show."
1,Where was Avicenna once imprisoned?,"While he was imprisoned in the castle of Fardajan near Hamadhan, Avicenna wrote his famous ""Floating Man"" – literally falling man – thought experiment to demonstrate human self-awareness and the substantiality and immateriality of the soul."
1,What is the last origination of the word asphalt?,"The word asphalt is derived from the late Middle English, in turn from French asphalte, based on Late Latin asphalton, asphaltum, which is the latinisation of the Greek ἄσφαλτος (ásphaltos, ásphalton), a word meaning ""asphalt/bitumen/pitch"", which perhaps derives from ἀ-, ""without"" and σφάλλω (sfallō), ""make fall""."
